subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
1,Target Absent,,,,,No,2.028,-100,No,2.022,-100,Yes,1.851,100,No,1.831,-100,No,2.101,-100,No,1.497,-100
2,Target Absent,,,,,No,3.47,-19,No,2.886,-92,No,3.523,-7,No,3.494,-8,No,7.586,-19,No,2.661,-80
3,Target Absent,,,,,Yes,34.525,98,No,1.904,-89,No,1.822,-99,No,2.067,-99,No,3.149,-95,No,4.598,-66
4,Target Present,5,No,3.158,100,Yes,3.961,91,No,3.401,-90,No,2.458,-100,Yes,5.547,80,,,,No,3.581,-100
5,Target Absent,,,,,No,9.42,-71,No,5.223,-61,No,3.737,-92,No,4.697,-61,Yes,4.588,97,No,4.233,-81
6,Target Absent,,,,,No,2.766,-34,Yes,19.013,88,No,2.213,-92,No,5.577,-97,No,3.212,-100,No,3.576,-100
7,Target Absent,,,,,No,8.136,-19,No,5.16,-18,No,3.66,-15,No,6.71,-13,No,7.247,-13,No,4.874,-17
8,Target Present,1,Yes,3.196,45,,,,No,4.319,-37,No,3.067,-77,No,3.408,-77,Yes,5.454,61,No,2.672,-71
9,Target Absent,,,,,No,3.362,-95,No,2.523,-100,No,7.638,-75,No,3.136,-92,Yes,5.182,71,No,2.292,-100
10,Target Absent,,,,,Yes,3.738,44,No,2.788,-46,No,2.459,-62,No,2.41,-73,Yes,2.421,45,Yes,2.148,39
11,Target Absent,,,,,No,1.896,-98,Yes,2.615,65,No,2.292,-100,Yes,5.445,65,No,2.091,-76,No,2.149,-100
12,Target Absent,,,,,Yes,5.815,60,No,4.332,-30,No,3.839,-80,No,2.792,-70,No,3.27,-39,No,2.168,-92
13,Target Present,6,No,4.493,30,No,11.362,-61,No,6.319,-70,No,4.017,-40,No,6.081,-50,Yes,4.968,61,,,
14,Target Present,3,Yes,2.679,77,No,2.76,-65,Yes,3.042,70,,,,No,2.076,-91,No,4.292,-40,No,1.868,-92
15,Target Present,2,Yes,3.705,61,No,3.665,-71,,,,No,2.901,-76,No,2.4,-77,No,2.763,-86,No,2.912,-94
16,Target Present,1,No,7.563,31,,,,Yes,8.385,9,No,3.885,-71,No,5.317,-19,No,6.783,-27,Yes,7.977,31
17,Target Present,5,Yes,4.483,74,No,8.237,-92,No,11.518,-50,Yes,5.678,73,No,6.781,-48,,,,No,3.033,-98
18,Target Absent,,,,,No,7.339,-88,No,4.089,-83,No,2.604,-87,Yes,7.281,88,No,3.098,-86,No,3.339,-86
19,Target Present,2,Yes,4.492,71,No,2.883,-17,,,,No,3.203,-93,No,2.59,-81,No,2.741,-100,No,4.236,-64
20,Target Present,5,Yes,2.807,72,,,,,,,,,,,,,,,,,,
