subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
160,Target Absent,Lineup,,,NaN,Yes,20,No,73,No,55,No,72,No,100,No,100
161,Target Absent,Lineup,,,NaN,No,81,Yes,94,No,100,No,100,No,44,No,88
162,Target Absent,Showup,,,NaN,No,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,Target Present,Showup,,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,Target Absent,Showup,,,NaN,No,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
165,Target Absent,Showup,,,NaN,No,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166,Target Absent,Lineup,,,NaN,No,100,Yes,100,No,100,No,100,No,100,Yes,100
167,Target Present,Showup,,Yes,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169,Target Absent,Lineup,,,NaN,Yes,80,No,80,No,80,No,80,No,90,No,100
170,Target Present,Lineup,pos 4,No,52,No,39,No,66,No,100,NaN,NaN,No,91,No,83
171,Target Present,Showup,,No,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,Target Present,Lineup,pos 2,Yes,55,Yes,50,NaN,NaN,Yes,40,Yes,59,Yes,39,Yes,44
173,Target Absent,Showup,,,NaN,No,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,Target Present,Showup,,Yes,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,Target Present,Showup,,Yes,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,Target Absent,Lineup,,,NaN,No,80,No,85,No,75,No,79,No,74,Yes,62
177,Target Present,Showup,,Yes,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,Target Absent,Showup,,,NaN,No,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,No,100,No,100,No,100
181,Target Absent,Showup,,,NaN,No,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
183,Target Absent,Lineup,,,NaN,No,68,No,60,No,70,No,66,No,64,No,62
184,Target Absent,Showup,,,NaN,Yes,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,Target Present,Showup,,Yes,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187,Target Present,Lineup,pos 3,Yes,91,No,100,No,100,NaN,NaN,No,100,No,100,No,100
188,Target Present,Lineup,pos 6,Yes,70,No,70,No,100,No,65,No,60,No,50,NaN,NaN
