id_type,conf_level,culprit_present,lineup_size,suspect_position,conf_level_orig
reject,5,present,6,2,7
reject,5,present,6,2,7
reject,5,present,6,2,7
reject,5,present,6,2,7
filler,5,present,6,2,7
reject,5,present,6,2,7
filler,5,present,6,2,7
reject,5,present,6,2,7
reject,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,2,7
reject,5,present,6,2,7
reject,5,present,6,2,7
reject,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,5,7
filler,5,present,6,5,7
reject,5,present,6,5,7
reject,5,present,6,2,6
filler,5,present,6,2,6
reject,5,present,6,2,6
filler,5,present,6,2,6
reject,5,present,6,5,6
reject,5,present,6,2,6
reject,5,present,6,2,6
reject,5,present,6,2,6
reject,5,present,6,2,6
reject,5,present,6,2,6
filler,5,present,6,5,6
reject,5,present,6,5,6
reject,5,present,6,5,6
filler,5,present,6,5,6
filler,5,present,6,5,6
reject,5,present,6,5,6
suspect,5,present,6,2,5
reject,5,present,6,2,5
suspect,5,present,6,2,5
reject,5,present,6,2,5
suspect,5,present,6,5,5
suspect,5,present,6,5,5
suspect,5,present,6,5,5
reject,5,present,6,2,5
reject,5,present,6,2,5
reject,5,present,6,5,5
filler,5,present,6,2,5
reject,5,present,6,2,5
filler,5,present,6,2,5
reject,5,present,6,2,5
reject,5,present,6,2,5
reject,5,present,6,5,5
filler,5,present,6,5,5
reject,5,present,6,5,5
filler,5,present,6,5,5
filler,5,present,6,5,5
filler,5,present,6,5,5
filler,5,present,6,2,5
reject,5,present,6,2,5
filler,5,present,6,5,5
filler,5,present,6,5,5
filler,5,present,6,5,5
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
suspect,4,present,6,2,4
suspect,4,present,6,5,4
suspect,4,present,6,5,4
suspect,4,present,6,2,4
suspect,4,present,6,2,4
suspect,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,2,4
filler,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,5,4
filler,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
filler,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,2,4
reject,4,present,6,5,4
filler,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
reject,4,present,6,5,4
filler,4,present,6,5,4
filler,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
suspect,3,present,6,2,3
reject,3,present,6,2,3
suspect,3,present,6,2,3
reject,3,present,6,2,3
suspect,3,present,6,2,3
suspect,3,present,6,2,3
filler,3,present,6,2,3
suspect,3,present,6,5,3
suspect,3,present,6,5,3
suspect,3,present,6,5,3
suspect,3,present,6,5,3
reject,3,present,6,5,3
suspect,3,present,6,5,3
suspect,3,present,6,5,3
reject,3,present,6,5,3
suspect,3,present,6,5,3
reject,3,present,6,5,3
suspect,3,present,6,2,3
reject,3,present,6,5,3
reject,3,present,6,5,3
suspect,3,present,6,2,3
reject,3,present,6,5,3
reject,3,present,6,5,3
reject,3,present,6,5,3
reject,3,present,6,5,3
filler,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,5,3
filler,3,present,6,5,3
reject,3,present,6,5,3
filler,3,present,6,5,3
reject,3,present,6,5,3
reject,3,present,6,5,3
reject,3,present,6,5,3
filler,3,present,6,5,3
filler,3,present,6,5,3
filler,3,present,6,5,3
filler,3,present,6,5,3
filler,3,present,6,5,3
reject,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
reject,3,present,6,2,3
reject,3,present,6,2,3
filler,3,present,6,2,3
filler,3,present,6,5,3
filler,3,present,6,5,3
filler,3,present,6,5,3
reject,3,present,6,5,3
