ParticipantId,Age,Sex,Ethnicity,Ethnicity2,TimeElapsed,EncodingConditionRaw,EncodingCondition,TargetPresent,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Lineup6,Interactors,ParticipantTargetPresent,ParticipantLineupSelection,Accuracy,ParticipantSelection,Confidence,MouseGroup,MissingMouseData,TargetFront,TargetLeft,TargetRight,FrontFiller,LeftFiller,RightFiller,SameTarget,OppTarget,SameFiller,OppFiller,
2c6a67a0-4dc0-449e-9b0f-2f53b16308dd,24,Male,White or Caucasian,White American,171223,1,right,0,3,1,5,6,2,4,1,no,,1,reject,80,High,0,,,,0.646274385,0.107826541,0.245899074,,,0.245899074,0.107826541,
b58fd95d-8bde-4d6b-bdc3-da9f641e2455,43,Female,White or Caucasian,White American,183816,1,right,1,6,5,4,1,3,2,1,yes,1,1,target,90,Low,0,0.843956044,0.136996337,0.019047619,0.768722789,0.060208665,0.171068545,0.019047619,0.136996337,0.171068545,0.060208665,
e1f02560-19b3-49a8-8871-f903c4d15e14,38,Male,White or Caucasian,White American,205856,1,right,1,6,4,3,5,1,2,1,yes,1,1,target,80,Low,0,0.975579976,,0.024420024,0.945043787,0,0.054956213,0.024420024,0,0.054956213,0,
155935ff-5447-4772-9f34-bdcce18ed468,30,Male,Black or African American,Black other,183873,1,right,1,3,1,5,4,2,6,1,yes,6,1,target,90,Low,0,0.794966836,0.065158018,0.139875146,0.860110186,0.093583532,0.046306282,0.139875146,0.065158018,0.046306282,0.093583532,
9dd389a3-7f63-429d-b613-047f1944a033,52,Female,White or Caucasian,White American,187545,2,left,0,4,2,1,6,5,3,1,no,,1,reject,70,High,0,,,,0.698528633,0.271038889,0.030432477,,,0.271038889,0.030432477,
c4364ced-5ffe-4d21-bdc5-63115bb23b83,43,Male,Black or African American,Black other,198841,1,right,1,4,6,3,5,2,1,1,yes,2,1,target,80,High,0,0.382956522,,0.617043478,0.634204042,0.114810641,0.250985316,0.617043478,0,0.250985316,0.114810641,
3882475a-6b4a-4a5e-bd34-0c00994f5a27,30,Male,White or Caucasian,White American,176314,2,left,1,4,6,3,5,1,2,1,yes,2,1,target,50,High,0,0.458720159,0.370026525,0.171253316,0.630114837,0.235770741,0.134114422,0.370026525,0.171253316,0.235770741,0.134114422,
3e285cef-06ca-4d08-b870-ea2331868908,25,Female,White or Caucasian,White American,178152,2,left,0,1,5,3,6,4,2,1,no,,1,reject,80,High,0,,,,0.575628381,0.232508181,0.191863438,,,0.232508181,0.191863438,
83c73642-236f-430b-b903-9c03f6074383,25,Female,"East Asian (e.g., Chinese, Japanese, Korean)",Asian other,192957,2,left,1,5,3,2,4,6,1,1,yes,5,1,target,80,Low,0,0.93700047,0.06299953,,0.796795058,0.1412313,0.061973643,0.06299953,0,0.1412313,0.061973643,
4464a336-5b95-48b5-9645-159f00a577f8,38,Male,White or Caucasian,White American,196870,2,left,1,3,5,2,4,1,6,1,yes,6,1,target,100,High,0,0.257949802,0.682007937,0.060042262,0.83235684,0.120327215,0.047315945,0.682007937,0.060042262,0.120327215,0.047315945,
967b47ef-2ed1-4b14-ba67-d7ac83f718c1,23,Male,White or Caucasian,White American,213258,2,left,0,1,6,2,5,4,3,1,yes,3,0,filler,90,Low,0,,,,0.745550496,0.170359016,0.084090488,,,0.170359016,0.084090488,
53f50ce7-0c0d-42ab-990f-d6d527226e2c,31,Female,White or Caucasian,White American,165211,1,right,1,5,6,2,1,3,4,1,yes,3,0,filler,60,Low,0,0.981466815,,0.018533185,0.827008146,0.164784214,0.00820764,0.018533185,0,0.00820764,0.164784214,
dfda3d7c-f6ea-43cc-b16a-c06441541644,33,Female,"East Asian (e.g., Chinese, Japanese, Korean)",Asian other,199779,2,left,0,2,1,3,5,4,6,1,yes,1,0,filler,90,High,0,,,,0.61970568,0.35891159,0.02138273,,,0.35891159,0.02138273,
58aae75e-e995-4e6b-9192-9659dd38b9fa,39,Female,White or Caucasian,White American,625715,2,left,1,5,6,3,4,2,1,1,no,,0,reject,90,Low,0,0.546914839,0.392316845,0.060768315,0.66832827,0.151991369,0.179680361,0.392316845,0.060768315,0.151991369,0.179680361,
60b1249b-d621-460f-917c-b2f532fa13a2,33,Male,White or Caucasian,White American,219341,1,right,1,3,5,1,4,2,6,1,yes,6,1,target,80,Low,0,0.678332849,0.014376997,0.307290154,0.719175753,0.114365358,0.166458889,0.307290154,0.014376997,0.166458889,0.114365358,
cee54903-8cac-4d2d-935f-71ec97102b99,58,Female,White or Caucasian,White American,240432,2,left,0,6,3,5,2,4,1,1,no,,1,reject,100,High,0,,,,0.686041664,0.212181156,0.10177718,,,0.212181156,0.10177718,
557c0497-1193-480a-9de5-6bf775951000,24,Male,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",Asian Indian,177118,1,right,1,2,4,1,6,5,3,1,yes,4,1,target,90,High,0,0.507987616,,0.492012384,0.848111102,0.026996583,0.124892315,0.492012384,0,0.124892315,0.026996583,
ed05b5e6-e722-4887-9b20-247c26aab180,23,Male,White or Caucasian,White American,185261,2,left,1,4,2,3,1,5,6,1,yes,6,1,target,90,High,0,0.515063731,0.166425261,0.318511008,0.563135131,0.250726508,0.18613836,0.166425261,0.318511008,0.250726508,0.18613836,
c48fe612-ab61-4b4f-8fad-4632e058864d,34,Female,White or Caucasian,White American,450633,1,right,0,3,4,1,2,5,6,1,no,,1,reject,100,Low,0,,,,0.989163392,0,0.010836608,,,0.010836608,0,
eeb27dd5-54ed-4d02-bb47-35e24b7deae8,39,Male,White or Caucasian,White Irish,200438,2,left,1,6,2,4,5,3,1,1,yes,1,1,target,80,High,0,0.461726053,0.396694215,0.141579732,0.575940625,0.228120421,0.195938954,0.396694215,0.141579732,0.228120421,0.195938954,
b47439a4-65b9-41de-ac2f-29904b098890,25,Prefer not to say,White or Caucasian,White American,214614,2,left,0,3,4,6,1,5,2,1,no,,1,reject,100,High,0,,,,0.56954879,0.268082971,0.162368239,,,0.268082971,0.162368239,
86525886-0f5d-4e3c-ac0a-b1145f32d268,34,Male,"Hispanic, Latino or Spanish",Hispanic or Latino,158524,1,right,1,1,3,6,2,4,5,1,yes,3,1,target,100,High,0,0.528301887,0.320754717,0.150943396,0.669290506,0.094856811,0.235852683,0.150943396,0.320754717,0.235852683,0.094856811,
db0053d0-7937-4b05-b8f1-8cedbd74f504,58,Female,White or Caucasian,White American,188330,1,right,1,1,3,5,2,6,4,1,yes,5,1,target,100,High,0,0.626498148,,0.373501852,0.660022605,0.085836147,0.254141248,0.373501852,0,0.254141248,0.085836147,
93ca932f-2e38-40c8-8ff1-3453aef1eec6,25,Female,Black or African American,Black African,235498,1,right,1,2,1,5,3,6,4,1,yes,5,1,target,80,High,0,0.477286021,,0.522713979,0.698553783,0.039269213,0.262177004,0.522713979,0,0.262177004,0.039269213,
de08889d-11a4-4fcc-8394-760ac2a8b887,39,Male,White or Caucasian,White American,185275,2,left,1,1,2,4,3,5,6,1,yes,6,1,target,100,High,0,0.518817204,0.408781362,0.072401434,0.623083625,0.167358177,0.209558198,0.408781362,0.072401434,0.167358177,0.209558198,
54a4ab75-61c6-49b5-994f-4b64393dc92a,33,Male,White or Caucasian,White American,399587,2,left,0,4,2,1,3,6,5,1,no,,1,reject,80,High,0,,,,0.555999342,0.27022909,0.173771568,,,0.27022909,0.173771568,
fc65ed65-bdaa-400d-bd49-1b139d7bfc73,34,Female,"Hispanic, Latino or Spanish",Mixed other,292783,1,right,1,4,6,1,2,5,3,1,yes,2,1,target,90,High,0,0.43110564,0.164289335,0.404605025,0.590861234,0.22575583,0.183382936,0.404605025,0.164289335,0.183382936,0.22575583,
7d314271-47c2-4103-ad76-36d922d8afa1,25,Male,White or Caucasian,White American,145473,2,left,1,3,2,6,4,1,5,1,yes,2,0,filler,10,Low,0,0.875595049,,0.124404951,0.681385733,0.173993046,0.144621221,0,0.124404951,0.173993046,0.144621221,
791d36fb-56f7-4d56-b5ed-87c01cad2b66,26,Female,Black or African American,Black African,296484,1,right,1,6,3,5,1,4,2,1,yes,1,1,target,90,High,0,0.481805566,0.069809575,0.448384859,0.646923219,0.102969915,0.250106867,0.448384859,0.069809575,0.250106867,0.102969915,
2d59de3b-e67c-4aeb-8f40-6f0b81968b9e,27,Female,White or Caucasian,White American,185638,1,right,1,6,2,5,1,4,3,1,yes,1,1,target,90,High,0,0.568904353,0.171646882,0.259448765,0.664262064,0.139883769,0.195854167,0.259448765,0.171646882,0.195854167,0.139883769,
6010897b-8559-41ec-9b4e-7e96e8dffa4f,29,Male,White or Caucasian,White American,508913,2,left,1,5,1,4,2,6,3,1,yes,5,1,target,100,Low,0,0.602535421,0.397464579,,0.879684881,0.10193486,0.018380259,0.397464579,0,0.10193486,0.018380259,
4a5d354a-2d37-407e-bcad-4ddf045bbbb5,42,Female,White or Caucasian,White American,282850,2,left,0,1,4,5,2,3,6,1,yes,4,0,filler,80,Low,0,,,,0.991244166,0.008755834,0,,,0.008755834,0,
f1c2af52-57eb-4aa1-bff9-99bd5531e3be,65,Female,White or Caucasian,White American,244677,1,right,1,3,5,6,4,1,2,1,yes,3,1,target,70,High,0,0.759467195,0.073425804,0.167107001,0.583605373,0.135749529,0.280645098,0.167107001,0.073425804,0.280645098,0.135749529,
08c06c7c-3d40-4b78-8144-91c8a8dd566f,47,Male,White or Caucasian,White American,274821,1,right,0,3,4,6,1,2,5,1,no,,1,reject,100,Low,0,,,,0.635737859,0.181645658,0.182616483,,,0.182616483,0.181645658,
34c10053-7d63-4171-8582-72209970600a,24,Male,White or Caucasian,White American,160833,2,left,1,1,4,5,6,2,3,1,yes,1,0,filler,70,Low,0,,,,0.732678866,0.0894007,0.177920434,0,0,0.0894007,0.177920434,
461eecc0-4950-4bcc-9337-90c09b84be68,37,Male,White or Caucasian,White American,195394,1,right,0,6,3,2,1,5,4,1,no,,1,reject,100,Low,0,,,,0.652899592,0.212661113,0.134439295,,,0.134439295,0.212661113,
