ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
01b4b516-ac2f-4143-a2fe-78915f4de188,98,1,30414,TRUE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,2,22062,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,3,22758,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,4,24031,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,5,25069,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,6,23056,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,7,24207,FALSE
01b4b516-ac2f-4143-a2fe-78915f4de188,98,8,26833,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,1,29463,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,2,30313,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,3,28329,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,4,27320,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,5,29774,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,6,26040,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,7,27781,TRUE
00c4aa2b-0406-4218-b22c-9f4fd93b9ca0,100,8,33338,TRUE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,1,23624,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,2,24277,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,3,26602,TRUE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,4,23216,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,5,22443,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,6,23767,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,7,20750,FALSE
4817c64b-5e41-4aad-9711-44fbbe4de277,102,8,22653,FALSE
fcb93092-ca45-4a7c-b620-1eb726c5c6e6,104,1,18501,FALSE
