ExperimentId,ParticipantId,SexId,Age,EthnicityId,StartDate,EndDate,TrialNumber,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""","The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),"MyRace (""How would you describe YOUR OWN race / ethnicity?"")",ParticipantPerpetrator present (yes/no),Face picked,Confidence,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,AttentionCheck,Face (.jpeg) picked,Correct,SaidAbsentorPresent,TargetPresent,IDResponse,CrimeWatched,PerpRace,SubjectRace,OwnRace,LineupType,AttentionCheckCorrect,CorrectSubjectRace,Include
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,1,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,no,,60,1,2,4,6,3,5,laptop,absent,1,absent,no,reject,laptop,caucasian,south_asian,otherRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,2,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,yes,6,80,3,4,2,1,5,6,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,south_asian,ownRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,3,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,yes,2,100,3,6,4,2,1,5,burglary,6,1,present,yes,perpetrator,burglary,caucasian,south_asian,otherRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,4,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,no,,100,6,3,5,2,4,1,laptop,absent,1,absent,no,reject,laptop,south_asian,south_asian,ownRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,5,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,no,,100,3,4,1,6,2,5,car,absent,1,absent,no,reject,car,caucasian,south_asian,otherRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,6,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,yes,5,100,2,3,5,4,6,1,burglary,6,1,present,yes,perpetrator,burglary,south_asian,south_asian,ownRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,7,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,no,,100,2,3,1,4,5,6,car,absent,1,absent,no,reject,car,south_asian,south_asian,ownRace,interactive,yes,yes,yes
243,501f5f9f-b661-4cbd-80c3-c763afc51b68,M,20,south_asian,20/03/2018,20/03/2018,8,5,9,8,6,9,1,0,8,8,5,5,Asian Sri Lankan,yes,2,100,3,6,4,1,2,5,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,caucasian,south_asian,otherRace,interactive,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,1,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,yes,4,60,3,6,5,1,4,2,car,1,0,present,yes,foil,car,south_asian,south_asian,ownRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,2,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,80,1,2,3,5,4,6,car,absent,0,absent,yes,reject,car,caucasian,south_asian,otherRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,3,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,80,3,6,1,5,2,4,burglary,absent,1,absent,no,reject,burglary,south_asian,south_asian,ownRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,4,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,80,5,4,1,3,6,2,laptop,absent,1,absent,no,reject,laptop,south_asian,south_asian,ownRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,5,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,yes,1,70,6,3,1,2,4,5,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,south_asian,ownRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,6,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,90,4,3,2,6,1,5,laptop,absent,1,absent,no,reject,laptop,caucasian,south_asian,otherRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,7,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,90,5,6,1,3,2,4,drinkspiking,absent,0,absent,yes,reject,drinkspiking,caucasian,south_asian,otherRace,static,yes,yes,yes
247,07a97da6-bec7-4b9c-90c8-ff29635f1cd7,F,20,south_asian,21/03/2018,21/03/2018,8,5,9,3,9,9,4,0,5,8,5,5,Asian Indian,no,,90,4,5,1,3,2,6,burglary,absent,1,absent,no,reject,burglary,caucasian,south_asian,otherRace,static,yes,yes,yes
251,309a0713-1911-4be5-ac6a-ff6b14aec8f0,F,19,south_asian,22/03/2018,22/03/2018,1,5,9,6,9,9,4,4,4,9,4,4,Mixed other,no,,50,3,1,4,2,6,5,car,absent,1,absent,no,reject,car,south_asian,south_asian,ownRace,static,yes,yes,yes
251,309a0713-1911-4be5-ac6a-ff6b14aec8f0,F,19,south_asian,22/03/2018,22/03/2018,2,5,9,6,9,9,4,4,4,9,4,4,Mixed other,yes,3,20,1,5,2,6,3,4,burglary,2,0,present,yes,foil,burglary,south_asian,south_asian,ownRace,static,yes,yes,yes
