ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
0015cee5-31a4-4f97-8c97-3b51286a2a62,Exp2,independent_simultaneous,57120,FALSE,,,,,
00217279-18a8-4af5-b6f4-5247bde1078c,Exp2,independent_simultaneous,67101,TRUE,,,,,
0045eb46-b266-4b18-8271-cf27c7139eb4,Exp2,independent_simultaneous,33749,FALSE,,,,,
004f005e-be07-4dce-9052-d4f54815fc0d,Exp2,independent_simultaneous,29665,FALSE,,Count of ParticipantId,Column Labels,,
00847511-eb28-4586-927d-0c3db2cd36f6,Exp2,independent_simultaneous,37175,FALSE,,Row Labels,FALSE,TRUE,Grand Total
0088140f-335a-4ae3-bcf0-680bf3235ab5,Exp2,independent_simultaneous,121023,TRUE,,independent_simultaneous,1372,1371,2743
00b739d3-9f80-418d-9072-0e4f38282a1a,Exp2,independent_simultaneous,193099,TRUE,,joint_simultaneous,1465,1464,2929
00c22a9b-6a5e-4297-a82d-50074233c736,Exp2,independent_simultaneous,33398,FALSE,,sequential,1395,1394,2789
00db24ed-486d-4b5f-a09f-3d5821d2e4f8,Exp2,independent_simultaneous,40429,FALSE,,Grand Total,4232,4229,8461
00dcd9a7-551b-4311-afab-c6da989260ac,Exp2,independent_simultaneous,92561,TRUE,,,,,
0108b537-b6ee-4301-b3cc-249be382be7d,Exp2,independent_simultaneous,59694,FALSE,,,,,
0117c8e6-4f7b-4356-a6ef-ca6237cd8704,Exp2,independent_simultaneous,31211,FALSE,,,,,8507
01196757-a4bb-4796-8594-933b39b95963,Exp2,independent_simultaneous,37838,FALSE,,,,,
011b68dc-89c0-459a-9965-e4030605ae8b,Exp2,independent_simultaneous,71165,TRUE,,,,,
014702f8-9915-4673-bf35-aa5a4f5c49bc,Exp2,independent_simultaneous,106841,TRUE,,,,,
01580708-7d35-4bd1-b85a-abf58dd186d7,Exp2,independent_simultaneous,65042,TRUE,,,,,
015940cf-2460-471d-bfec-d578033c0147,Exp2,independent_simultaneous,79039,TRUE,,,,,
015b1260-dce4-4521-8ea8-3716bc547eca,Exp2,independent_simultaneous,84857,TRUE,,,,,
01660311-9846-47cf-b4c7-3965e6d7545e,Exp2,independent_simultaneous,79006,TRUE,,,,,
0170725d-628c-4d69-ac05-7a7c0c6bdaa2,Exp2,independent_simultaneous,76281,TRUE,,,,,
0176d5ef-0796-47ee-b18c-f40848e6c30d,Exp2,independent_simultaneous,276217,TRUE,,,,,
017e2517-6174-4d27-81dc-2c3c321ceb6c,Exp2,independent_simultaneous,56159,FALSE,,,,,
01a9c0f6-b619-4b79-a8eb-80b610f96c4a,Exp2,independent_simultaneous,40440,FALSE,,,,,
01c0075a-38a0-45b8-bf8f-7c808cd86dc1,Exp2,independent_simultaneous,110221,TRUE,,,,,
01dc4cfa-33ef-42f3-a36d-5881b938c01b,Exp2,independent_simultaneous,66210,TRUE,,,,,
01e44069-a4e8-49b5-8df3-22762db84338,Exp2,independent_simultaneous,62589,FALSE,,,,,
020ab337-9537-4ebb-9149-063b60f787aa,Exp2,independent_simultaneous,35395,FALSE,,,,,
021c8c9b-b7be-48cd-9ec1-d72eed3a0372,Exp2,independent_simultaneous,33507,FALSE,,,,,
02334090-3d4d-49dd-9d65-1764501e9657,Exp2,independent_simultaneous,107888,TRUE,,,,,
024c682a-2925-41f6-a6a1-7d7491131452,Exp2,independent_simultaneous,64568,TRUE,,,,,
0274f572-07ee-49d6-af95-68157f8ae296,Exp2,independent_simultaneous,388382,TRUE,,,,,
027bb456-d008-4c86-b2ac-e44e114ca2a8,Exp2,independent_simultaneous,26420,FALSE,,,,,
027d8dde-0ec9-4e7c-a704-7af32c9cb447,Exp2,independent_simultaneous,120380,TRUE,,,,,
0285effd-1905-4419-9c8e-a9ad34de91cc,Exp2,independent_simultaneous,72977,TRUE,,,,,
02b53778-a215-4d08-9a8f-27c9683f44da,Exp2,independent_simultaneous,68082,TRUE,,,,,
02d44256-9ecf-4a35-afd9-2ceb1e7990fa,Exp2,independent_simultaneous,42050,FALSE,,,,,
02e54b42-9928-43d0-9b56-a9d06c051e5a,Exp2,independent_simultaneous,47104,FALSE,,,,,
02faba68-d305-4fe5-b9e6-5e20a03ac9f2,Exp2,independent_simultaneous,58980,FALSE,,,,,
02fe32b8-f0f2-4f45-9019-8556ad1ffdbe,Exp2,independent_simultaneous,71982,TRUE,,,,,
0305bf7e-7893-48ff-aa38-5d0e3b450b9f,Exp2,independent_simultaneous,46382,FALSE,,,,,
033a7f53-2044-4e29-afa3-50aadf5af4e8,Exp2,independent_simultaneous,30212,FALSE,,,,,
034315ce-ba92-4a4a-8699-b59f4a2b7fd3,Exp2,independent_simultaneous,163678,TRUE,,,,,
03505000-2a40-417e-8c9e-d13519c67182,Exp2,independent_simultaneous,68155,TRUE,,,,,
0378abb0-a64b-426b-8992-b897fefda1be,Exp2,independent_simultaneous,127434,TRUE,,,,,
037f1904-04b2-434a-be35-dc1f5143222b,Exp2,independent_simultaneous,109789,TRUE,,,,,
037f63f3-604f-41d4-b43b-775326d879a8,Exp2,independent_simultaneous,47224,FALSE,,,,,
03b87540-421e-433c-988e-159acfd82a79,Exp2,independent_simultaneous,112615,TRUE,,,,,
03bec2cc-937f-4693-a2e9-0aef78638a62,Exp2,independent_simultaneous,247557,TRUE,,,,,
03de57ed-67cb-4bfb-bb49-9a7a5129edc7,Exp2,independent_simultaneous,86697,TRUE,,,,,
03e759a5-a3a6-44b6-b033-ff851e08a897,Exp2,independent_simultaneous,31236,FALSE,,,,,
03ebefa2-c41a-4786-9425-af6e5856e8a5,Exp2,independent_simultaneous,198810,TRUE,,,,,
03f8378f-9bd2-4871-a1df-99c7c30be640,Exp2,independent_simultaneous,34421,FALSE,,,,,
042d2a44-38c2-4710-8504-3ff18ff4c271,Exp2,independent_simultaneous,47042,FALSE,,,,,
043e7071-da53-4106-9ac7-7c9d8702e676,Exp2,independent_simultaneous,44651,FALSE,,,,,
04c92f5f-7710-4d4f-a4bb-c7fe3b4525ec,Exp2,independent_simultaneous,32045,FALSE,,,,,
04f366c7-5b5d-4c71-95c0-281c76569eee,Exp2,independent_simultaneous,66679,TRUE,,,,,
04f4ec8f-2c0f-4999-8ca9-8dce9a520153,Exp2,independent_simultaneous,40623,FALSE,,,,,
04f87326-7c5b-47ff-885c-bdc922e91644,Exp2,independent_simultaneous,184726,TRUE,,,,,
050cbba3-a616-414d-a42d-97ad3b44788d,Exp2,independent_simultaneous,56796,FALSE,,,,,
0510a69d-ee9d-4391-a5ae-d6fcb826b3f5,Exp2,independent_simultaneous,398575,TRUE,,,,,
0556e154-fa1b-4240-b02b-2b1b9091c324,Exp2,independent_simultaneous,64453,TRUE,,,,,
056e539e-80f4-4668-908b-62b502d11d05,Exp2,independent_simultaneous,16050,FALSE,,,,,
057a3f01-fc4e-4eb7-8c53-0df979a921f4,Exp2,independent_simultaneous,53441,FALSE,,,,,
057c3cdf-c7d0-4c5f-be83-6d502df60c16,Exp2,independent_simultaneous,40918,FALSE,,,,,
05b15c65-3e3e-499e-b6c0-a696e201340d,Exp2,independent_simultaneous,59466,FALSE,,,,,
05c88db7-849d-4f9f-919f-76647c2060d3,Exp2,independent_simultaneous,88458,TRUE,,,,,
05d4f1e1-9e33-48d3-bdf1-fa6c392e6c8b,Exp2,independent_simultaneous,94982,TRUE,,,,,
0613a309-a187-4372-9d9b-3c4bbaddb7e5,Exp2,independent_simultaneous,65474,TRUE,,,,,
