ParticipantId,Gender,Age,Race / ethnicity,ParticipantPerpetrator present (yes/no),Face picked,Confidence,My Race,Start Date,Finish Date,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""",ContactSum,"The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),AttentionCheck,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,Face(.jpeg)picked,Correct,SaidAbsentorPresent,IDResponse,CrimeWatched,TargetPresent,PerpRace,SubjectRace,OwnRace,LineupType,CorrectSubjectRace,AttentionCheckCorrect,PlayedSmoothly,FirstComplete,IncludeFinalSample,Recruited from?
8e7fa55a-a298-48e0-85aa-04d0a429b270,Female,34,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,50,Asian Indian,23/06/2018,23/06/2018,,,,,,,,,,0,,,,2,5,4,6,3,1,2,0,present,foil,mugging,yes,caucasian,south_asian,otherRace,sequential,yes,no,yes,,no,CIND
1db2622f-6a6e-404e-82af-6b3e5cdab10a,Female,29,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4,5,5,money,6,2,1,5,3,4,6,1,present,perpetrator,money,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
cac08ac4-69cb-4958-bf62-45f287b7eb14,Female,33,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4,5,5,money,3,6,2,4,1,5,3,0,present,foil,money,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
614c48d8-de43-4b8e-a567-9fa54de4f910,Female,23,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,5,40,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,7.00,9,5,3,mugging,3,5,6,1,2,4,2,0,present,foil,mugging,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
574362fe-df67-4152-8d12-ec88883d0715,Male,32,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,50,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,5,mugging,3,6,1,2,4,5,6,1,present,perpetrator,mugging,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
2cef9e73-36a6-4410-b95f-b328c153a85b,Male,23,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,20,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,3.00,8,4,5,mugging,5,6,1,3,2,4,1,0,present,foil,mugging,yes,caucasian,south_asian,otherRace,joint_simultaneous,yes,yes,yes,,yes,CIND
bf33949a-d6bc-433b-a2b1-ff8d1ea5d210,Female,24,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,100,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,5,5,car,5,6,3,1,2,4,absent,1,absent,reject,car,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
767253e5-8b85-405b-9d27-9ddb1f746f2a,Female,27,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3,5,4,mugging,2,5,3,6,4,1,2,0,present,foil,mugging,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
10d7525f-c529-47a8-9b92-966b4c7c8a22,Male,26,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,90,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,5,5,car,4,3,6,2,5,1,6,1,present,perpetrator,car,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
2f97a124-93fa-4e15-ad64-9fa9c8c1e924,Female,23,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,100,Asian Indian,09/07/2018,09/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,5,5,money,1,2,5,4,3,6,absent,0,absent,reject,money,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
