SubjectId,Subject ID code randomly assigned by computer programme.,,,,
Gender,Subject self-reported gender.,,,,
Age,Subject self-reported age.,,,,
Ethnicity,Subject self-reported ethnicity.,,,,
VideoWatched,Video that the subject watched: chocolate; toys.,,,,
TargetPresent,If the perpetrator was presented in the lineup: yes = perpetrator present; no = perpetrator absent,,,,
StartDate,Date and time subject began the study,,,,
FinishDate,Date and time subject completed the study,,,,
Time elapsed (ms),Time taken to complete the whole experiment (ms).,,,,
AgeGroup,"Researcher coded children into three age groups (Young = aged 4-6, Middle = aged 7-9, Late = aged 10-17)",,,,
LateGroup,"Researcher coded children in late-childhood ae group into two categories (Young-late = aged 10-12, Late-late = aged 13-17)",,,,
Face1.jpeg,"Simultaneous lineup: Image presented in the top left of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
Face2.jpeg,"Simultaneous lineup: Image presented in the top middle of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
Face3.jpeg,"Simultaneous lineup: Image presented in the top right of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
Face4.jpeg,"Simultaneous lineup: Image presented in the bottom left of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
Face5.jpeg,"Simultaneous lineup: Image presented in the bottom middle of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
Face6.jpeg,"Simultaneous lineup: Image presented in the bottom right of the  3 x 2 array of photos in the ID task. The number indicates which face (.jpeg name) was presented;  In target-present lineups, 6 is the perpetrator.",,,,
LineupNumberID'd,"The location of the lineup member that was ID'd, from the simultaneous lineup array (2 rows of 3 photos). 1 =   top left, 2 = top middle, 3 = top right, 4 = bottom left, 5 = bottom middle, 6 = bottom right",,,,
Face(.jpeg)ID'd,"The .jpeg of the lineup member that was ID'd.  In target-present lineups, 6.jpeg is the perpetrator. Absent = Subject did not ID a lineup member, they said that the perpetrator was absent",,,,
Correct,"Researchers coded if Face(.jpeg)ID decision was correct or incorrect. 1 = corrrect, 0 = incorrect",,,,
SaidAbsentorPresent,"Identification response: ""Is the James from the video on of the people shown in the lineup?"" present = subject responded that the perpetrator was present; absent = subject responded that the perpetrator was absent",,,,
IDResponse,"Researchers coded if Face(.jpeg)ID decision was a perpetrator, foil, or reject ID decision.",,,,
PreIDConfidence,"Confidence before identification decision: ""How sure are you that you would be able to recognise James if you saw him again in a group of photos?"". Rated using water-cup rating scale: empty cup (0), 1/4 cup (10), 1/2 cup (20), 3/4 cup (30),  full cup (40)",,,,
Confidence,"Confidence in identification decision: ""How sure are you that that is James / James is not present."" Rated using water-cup rating scale: empty cup (0), 1/4 cup (10), 1/2 cup (20), 3/4 cup (30),  full cup (40)",,,,
Interacted,Researchers coded whether the subject interacted or not. Interacted = subject clicked on and rotated at least one face; None = subject did not click on and rotate any faces,,,,
