Experiment,idnumber,age,ethnicity,education,gender,condition,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,targetPresent,participantTargetPresent,participantSelection,accuracy,participantIDdecision,accuracyInnocentSupsect,confidence,question1ans_How many people were in the video?,question1acc,include
Exp1,3,17,LatinHispanic,Less than High School,Female,1,43,96,83,81,110,89,0,1,110,0,False ID,0,100,2,0,no
Exp1,6,16,AsianIndian,Less than High School,Female,3,45,90,8,110,72,70,0,1,45,0,Filler ID,NA,50,1,1,yes
Exp1,9,16,WhiteEuropean,Masters Degree,Male,1,110,100,72,63,89,31,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,10,19,LatinHispanic,2-Year College Degree (Associates),Male,3,41,99,69,86,105,110,1,1,110,1,Correct ID,1,100,4,0,no
Exp1,11,19,LatinHispanic,Currently Attending College,Male,1,27,110,50,95,96,55,1,0,Not present,0,Incorrect Reject,NA,90,3,0,no
Exp1,12,19,NULLtive American,High School/GED,NR,1,36,5,83,110,64,55,1,1,110,1,Correct ID,1,100,3,0,no
Exp1,13,20,WhiteEuropean,2-Year College Degree (Associates),Female,2,79,108,110,24,85,34,0,0,Not present,1,Correct Reject,NA,100,3,0,no
Exp1,14,23,Other,Currently Attending College,Male,2,52,85,101,90,24,110,0,0,Not present,1,Correct Reject,NA,100,2,0,no
Exp1,16,19,LatinHispanic,High School/GED,NR,1,42,26,110,57,43,73,1,1,110,1,Correct ID,1,70,2,0,no
Exp1,17,22,WhiteEuropean,High School/GED,Male,1,25,1,110,17,31,62,0,0,Not present,1,Correct Reject,NA,90,2,0,no
Exp1,18,18,Mixed Ethnicity,4-Year College Degree (BA BS),NR,3,43,24,81,57,15,110,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,21,17,AsianIndian,Less than High School,Female,1,99,33,15,110,5,40,1,1,110,1,Correct ID,1,50,4,0,no
Exp1,23,17,BlackAfrican,Less than High School,Female,3,49,14,110,92,67,58,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,24,17,BlackAfrican,High School/GED,Female,1,85,77,110,62,89,109,1,0,Not present,0,Incorrect Reject,NA,80,3,0,no
Exp1,28,16,AsianIndian,High School/GED,Male,1,32,100,109,21,110,69,1,1,110,1,Correct ID,1,50,3,0,no
Exp1,30,27,BlackAfrican,4-Year College Degree (BA BS),Male,1,110,96,109,18,32,25,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,31,25,AsianIndian,Currently Attending College,Male,3,28,97,67,110,106,86,1,1,28,0,Filler ID,NA,0,1,1,yes
Exp1,32,30,NULLtive American,ProfessioNULLl Degree (MD JD),Male,2,97,9,110,64,103,32,1,0,Not present,0,Incorrect Reject,NA,80,2,0,no
Exp1,33,30,WhiteEuropean,2-Year College Degree (Associates),Female,1,79,59,100,110,40,63,0,1,100,0,Filler ID,NA,60,1,1,yes
Exp1,34,34,NULLtive American,4-Year College Degree (BA BS),Female,3,1,110,2,65,61,92,1,0,Not present,0,Incorrect Reject,NA,70,1,1,yes
Exp1,35,28,WhiteEuropean,High School/GED,Male,2,110,18,97,69,104,50,0,1,18,0,Filler ID,NA,60,1,1,yes
Exp1,36,41,LatinHispanic,4-Year College Degree (BA BS),Male,2,37,99,23,51,48,110,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,37,29,AsianIndian,4-Year College Degree (BA BS),Male,1,110,65,22,63,18,77,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,38,32,AsianIndian,4-Year College Degree (BA BS),Female,1,41,77,21,62,5,110,0,1,41,0,Filler ID,NA,50,2,0,no
Exp1,39,62,WhiteEuropean,High School/GED,Male,1,15,2,81,6,47,110,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,40,29,BlackAfrican,Masters Degree,Female,3,39,70,41,23,110,42,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,42,50,WhiteEuropean,Masters Degree,Female,2,6,43,7,110,40,39,1,0,Not present,0,Incorrect Reject,NA,50,1,1,yes
Exp1,43,26,BlackAfrican,4-Year College Degree (BA BS),Female,3,87,103,47,84,12,110,0,1,47,0,Filler ID,NA,90,1,1,yes
Exp1,44,29,WhiteEuropean,High School/GED,Male,2,49,43,98,21,47,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,yes
Exp1,45,29,WhiteEuropean,4-Year College Degree (BA BS),Male,3,110,83,7,28,104,45,1,1,104,0,Filler ID,NA,60,4,0,no
Exp1,46,55,WhiteEuropean,Masters Degree,Female,1,28,68,110,67,10,46,0,1,10,0,Filler ID,NA,40,1,1,yes
Exp1,47,50,WhiteEuropean,4-Year College Degree (BA BS),Female,1,59,43,67,102,88,110,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,48,34,WhiteEuropean,4-Year College Degree (BA BS),Male,3,15,72,28,110,11,81,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,49,25,Mixed Ethnicity,4-Year College Degree (BA BS),Female,2,38,24,54,77,12,110,1,1,54,0,Filler ID,NA,60,1,1,yes
Exp1,50,30,AsianIndian,4-Year College Degree (BA BS),Male,3,42,88,110,30,9,15,1,1,30,0,Filler ID,NA,100,1,1,yes
Exp1,52,28,NULLtive American,Masters Degree,Female,3,14,4,94,110,87,25,1,1,87,0,Filler ID,NA,60,3,0,no
Exp1,54,27,WhiteEuropean,Masters Degree,Female,1,1,64,5,110,107,11,1,1,107,0,Filler ID,NA,50,4,0,no
Exp1,55,35,WhiteEuropean,2-Year College Degree (Associates),Female,3,42,84,38,92,12,110,1,1,110,1,Correct ID,1,50,1,1,yes
Exp1,57,28,AsianIndian,4-Year College Degree (BA BS),Male,3,75,110,52,92,57,83,1,1,92,0,Filler ID,NA,80,1,1,yes
Exp1,59,33,WhiteEuropean,Masters Degree,Male,3,64,110,106,77,50,35,0,1,106,0,Filler ID,NA,80,1,1,yes
Exp1,60,20,WhiteEuropean,Currently Attending College,Female,1,90,110,84,99,24,62,0,1,99,0,Filler ID,NA,60,1,1,yes
Exp1,62,26,AsianIndian,4-Year College Degree (BA BS),Male,2,101,15,110,27,86,92,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,63,30,BlackAfrican,4-Year College Degree (BA BS),Male,1,5,33,49,15,10,110,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,66,23,AsianIndian,4-Year College Degree (BA BS),Male,2,110,13,89,103,94,92,1,1,110,1,Correct ID,1,60,1,1,yes
