Experiment,idnumber,RecruitedFrom,age,ethnicity,education,gender,condition,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,targetPresent,participantTargetPresent,participantSelection,accuracy,participantIDdecision,accuracyInnocentSupsect,confidence,question1ans,question1acc,completed before,include
Exp2,9379,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Male,1,101,8,45,9,77,110,1,1,8,0,Filler ID,NA,70,2,0,0,no
Exp2,9380,mturk,20,WhiteEuropean,Currently Attending College,Male,3,10,51,61,37,34,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,9381,mturk,49,WhiteEuropean,4-Year College Degree (BA BS),Male,3,37,71,110,55,47,108,1,1,110,1,Correct ID,1,20,1,1,0,yes
Exp2,9382,mturk,44,WhiteEuropean,Masters Degree,Female,3,102,110,5,92,72,81,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9383,mturk,60,WhiteEuropean,4-Year College Degree (BA BS),Female,2,40,48,110,99,100,77,1,1,110,1,Correct ID,1,30,1,1,0,yes
Exp2,9385,mturk,57,WhiteEuropean,High School/GED,Male,3,64,57,110,55,73,104,0,1,110,0,False ID,0,60,1,1,0,yes
Exp2,9389,mturk,22,AsianIndian,4-Year College Degree (BA BS),Female,3,44,79,107,110,71,53,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9390,mturk,21,WhiteEuropean,Currently Attending College,Male,3,60,110,52,72,31,19,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9392,mturk,28,LatinHispanic,4-Year College Degree (BA BS),Male,3,92,90,50,110,53,4,0,1,53,0,Filler ID,NA,70,1,1,0,yes
Exp2,9393,mturk,28,AsianIndian,4-Year College Degree (BA BS),Male,3,54,26,78,110,90,51,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9394,mturk,27,LatinHispanic,Masters Degree,Male,1,63,60,38,78,110,11,1,1,11,0,Filler ID,NA,40,1,1,0,yes
Exp2,9396,mturk,32,LatinHispanic,High School/GED,Male,3,45,13,110,74,22,43,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9397,mturk,38,BlackAfrican,Masters Degree,Male,1,8,110,64,108,46,68,1,1,46,0,Filler ID,NA,60,2,0,0,no
Exp2,9398,mturk,28,WhiteEuropean,Masters Degree,Male,1,43,5,89,4,110,62,0,1,43,0,Filler ID,NA,90,1,1,0,yes
Exp2,9399,mturk,43,WhiteEuropean,High School/GED,Female,2,57,12,60,110,18,22,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9400,mturk,30,BlackAfrican,Masters Degree,Female,3,14,91,37,110,23,41,1,1,91,0,Filler ID,NA,80,4,0,0,no
Exp2,9401,mturk,29,LatinHispanic,4-Year College Degree (BA BS),Female,2,38,108,48,36,110,32,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,9403,mturk,29,WhiteEuropean,2-Year College Degree (Associates),Female,2,11,104,81,61,70,110,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,9404,mturk,24,LatinHispanic,2-Year College Degree (Associates),Female,2,41,110,107,95,79,30,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9405,mturk,40,AsianIndian,2-Year College Degree (Associates),Male,1,41,48,69,86,110,29,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,9406,mturk,35,WhiteEuropean,4-Year College Degree (BA BS),Male,3,105,48,4,110,99,34,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9407,mturk,33,NR,NR,Female,2,12,68,54,59,110,56,0,1,68,0,Filler ID,NA,90,1,1,0,yes
Exp2,9409,mturk,18,WhiteEuropean,Currently Attending College,Male,3,110,23,42,51,90,67,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9410,mturk,22,WhiteEuropean,Currently Attending College,Male,2,108,110,59,105,7,74,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9411,mturk,27,WhiteEuropean,2-Year College Degree (Associates),Male,2,20,8,105,110,104,42,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9412,mturk,43,WhiteEuropean,High School/GED,Male,2,20,67,102,45,110,86,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,9414,mturk,46,WhiteEuropean,4-Year College Degree (BA BS),Female,1,2,40,61,110,100,88,1,1,2,0,Filler ID,NA,20,1,1,0,yes
Exp2,9415,mturk,28,BlackAfrican,4-Year College Degree (BA BS),Male,1,81,110,10,63,47,28,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,9416,mturk,26,BlackAfrican,Masters Degree,Female,3,110,1,70,84,8,85,1,1,110,1,Correct ID,1,100,1,1,0,yes
Exp2,9417,mturk,37,WhiteEuropean,Doctoral Degree,Female,3,56,18,41,60,110,88,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9418,mturk,37,WhiteEuropean,4-Year College Degree (BA BS),Female,2,110,98,1,58,43,59,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,9419,mturk,42,WhiteEuropean,High School/GED,Male,3,45,71,110,28,15,84,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9420,mturk,40,BlackAfrican,4-Year College Degree (BA BS),Female,3,110,66,94,89,60,4,1,0,Not present,0,Incorrect Reject,NA,40,4,0,0,no
Exp2,9421,mturk,49,LatinHispanic,Doctoral Degree,Male,1,92,12,22,70,110,28,0,0,Not present,1,Correct Reject,NA,20,1,1,0,yes
Exp2,9422,mturk,40,WhiteEuropean,4-Year College Degree (BA BS),Female,2,54,110,66,33,26,81,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9423,mturk,21,BlackAfrican,Currently Attending College,Female,1,110,49,19,12,93,29,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9424,mturk,29,AsianIndian,Masters Degree,Male,3,7,110,78,45,28,73,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9425,mturk,25,AsianIndian,Masters Degree,Female,2,78,61,63,49,36,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
