filename ,subjectNo ,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_1,207,hq7trzm2yget57b9,21,Male,Asian,Laptop/Computer,676118,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,80,yes,40,two,0,Present,, ,1,no
ucsd_1,207,hq7trzm2yget57b9,21,Male,Asian,Laptop/Computer,676118,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,100,yes,60,one,1,Present,, ,1,no
ucsd_1,309,v6bf2y4tfspxpqfr,19,Female,Asian,Laptop/Computer,686302,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,n/a,80,yes,80,two,1,Present,, ,1,no
ucsd_1,309,v6bf2y4tfspxpqfr,19,Female,Asian,Laptop/Computer,686302,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,n/a,80,no,60,one,1,Absent,, ,1,no
ucsd_1,319,eudkhn5pj210dx6r,20,Female,Asian,Laptop/Computer,642157,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,80,no,80,two,1,Absent,, ,1,no
ucsd_1,319,eudkhn5pj210dx6r,20,Female,Asian,Laptop/Computer,642157,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,yes,100,one,1,Present,, ,1,no
ucsd_1,326,edoi62cc9xc,21,Female,Caucasian,Laptop/Computer,728620,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,There were no difficulties with the video,90,no,60,one,1,Absent,, ,1,no
ucsd_1,326,edoi62cc9xc,21,Female,Caucasian,Laptop/Computer,728620,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,NO DIFFICULTIES ,80,yes,100,two,1,Present,, ,1,no
ucsd_1,374,v9grdx6as5,19,Female,Asian,Laptop/Computer,650608,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,yes,100,one,0,Present,, ,1,no
ucsd_1,374,v9grdx6as5,19,Female,Asian,Laptop/Computer,650608,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,60,yes,60,two,1,Present,, ,1,no
ucsd_1,405,cx2mebw26wpqr529,19,Male,Mexican-American,Laptop/Computer,770470,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,no issues ,50,yes,50,two,1,Present,, ,1,no
ucsd_1,405,cx2mebw26wpqr529,19,Male,Mexican-American,Laptop/Computer,770470,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no issues,50,yes,50,one,0,Present,, ,1,no
ucsd_1,429,lax8g9zkjzto6r,21,Female,Asian,Laptop/Computer,653915,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,70,yes,80,two,1,Present,, ,1,no
ucsd_1,429,lax8g9zkjzto6r,21,Female,Asian,Laptop/Computer,653915,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,No technical problems,80,no,80,one,1,Absent,, ,1,no
ucsd_1,454,ycm3h18nzouhaor,18,Male,Latino,Laptop/Computer,663315,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,100,one,1,Absent,, ,1,no
ucsd_1,454,ycm3h18nzouhaor,18,Male,Latino,Laptop/Computer,663315,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,yes,60,two,1,Present,, ,1,no
ucsd_1,484,lxhqj7ma9bvuz0k9,26,Female,Caucasian,Laptop/Computer,811023,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,NO,50,no,10,one,0,Absent,, ,1,no
ucsd_1,484,lxhqj7ma9bvuz0k9,26,Female,Caucasian,Laptop/Computer,811023,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,, I did not have any technical problems with this video.,60,no,70,two,1,Absent,, ,1,no
