filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_2,1,2pl60r5czfp,18,Male,Asian,Laptop/Computer,794663,2,simultaneousShowup,mugging,absent,mugging_lineup_5,mugging_lineup_4,mugging_lineup_innocentsuspect,mugging_lineup_1,mugging_lineup_3,mugging_lineup_2,,40,no,80,two,1,Absent,, ,,yes
ucsd_2,1,2pl60r5czfp,18,Male,Asian,Laptop/Computer,794663,1,simultaneousShowup,graffiti,present,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_1,graffiti_lineup_perpetrator,graffiti_lineup_3,graffiti_lineup_4,,80,no,60,one,0,Absent,, ,,yes
ucsd_2,2,15urt7b9fm8fflxr,22,Male,Caucasian,Laptop/Computer,781690,2,simultaneousShowup,graffiti,absent,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_innocentsuspect,graffiti_lineup_4,graffiti_lineup_3,graffiti_lineup_1,no,80,no,100,one,1,Absent,, ,,yes
ucsd_2,2,15urt7b9fm8fflxr,22,Male,Caucasian,Laptop/Computer,781690,1,simultaneousShowup,mugging,present,mugging_lineup_4,mugging_lineup_5,mugging_lineup_perpetrator,mugging_lineup_2,mugging_lineup_3,mugging_lineup_1,No,100,no,60,two,0,Absent,, ,,yes
ucsd_2,3,2bhr3ygdtwklnmi,24,Female,Asian,Laptop/Computer,1036207,1,simultaneousShowup,graffiti,absent,graffiti_lineup_innocentsuspect,graffiti_lineup_5,graffiti_lineup_2,graffiti_lineup_1,graffiti_lineup_3,graffiti_lineup_4,,60,no,10,one,1,Absent,, ,,yes
ucsd_2,3,2bhr3ygdtwklnmi,24,Female,Asian,Laptop/Computer,1036207,2,simultaneousShowup,mugging,present,mugging_lineup_3,mugging_lineup_4,mugging_lineup_2,mugging_lineup_5,mugging_lineup_1,mugging_lineup_perpetrator,,20,no,0,two,0,Absent,, ,,yes
ucsd_2,4,vdjc0efoefef80k9,20,Female,Other,Laptop/Computer,781140,1,simultaneousShowup,mugging,absent,mugging_lineup_4,mugging_lineup_innocentsuspect,mugging_lineup_3,mugging_lineup_2,mugging_lineup_5,mugging_lineup_1,There was no sound during the whole video,70,no,90,two,1,Absent,, ,,yes
ucsd_2,4,vdjc0efoefef80k9,20,Female,Other,Laptop/Computer,781140,2,simultaneousShowup,graffiti,present,graffiti_lineup_perpetrator,graffiti_lineup_4,graffiti_lineup_1,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_3, there was no sound throughout the whole movie.,80,yes,90,one,1,Present,, ,,yes
ucsd_2,5,e7ryik59cj6bhuxr,19,Female,Asian,Laptop/Computer,775119,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,80,no,100,one,1,Absent,, ,,yes
ucsd_2,5,e7ryik59cj6bhuxr,19,Female,Asian,Laptop/Computer,775119,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,yes,60,two,1,Present,, ,,yes
ucsd_2,6,izuqynfnie3lerk9,18,Female,Mexican-American,Laptop/Computer,780530,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,90,no,70,one,1,Absent,, ,,yes
ucsd_2,6,izuqynfnie3lerk9,18,Female,Mexican-American,Laptop/Computer,780530,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,no,50,two,0,Absent,, ,,yes
ucsd_2,7,qi8ovzphvuhxgvi,19,Female,Asian,Laptop/Computer,703907,2,simultaneousShowup,mugging,absent,mugging_lineup_1,mugging_lineup_innocentsuspect,mugging_lineup_3,mugging_lineup_4,mugging_lineup_2,mugging_lineup_5,,70,no,100,two,1,Absent,, ,,yes
ucsd_2,7,qi8ovzphvuhxgvi,19,Female,Asian,Laptop/Computer,703907,1,simultaneousShowup,graffiti,present,graffiti_lineup_5,graffiti_lineup_perpetrator,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_1,graffiti_lineup_2,,50,yes,70,one,1,Present,, ,,yes
ucsd_2,8,t7tujynve1smj9k9,19,Male,Asian,Laptop/Computer,815679,1,simultaneousShowup,graffiti,absent,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_2,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_innocentsuspect,NA,70,no,100,one,1,Absent,, ,,yes
ucsd_2,8,t7tujynve1smj9k9,19,Male,Asian,Laptop/Computer,815679,2,simultaneousShowup,mugging,present,mugging_lineup_perpetrator,mugging_lineup_1,mugging_lineup_4,mugging_lineup_5,mugging_lineup_2,mugging_lineup_3,NA,40,yes,80,two,1,Present,, ,,yes
ucsd_2,9,3ufooibdt1f,18,Female,Caucasian,Laptop/Computer,773335,2,simultaneousShowup,graffiti,present,graffiti_lineup_perpetrator,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_1,,70,no,100,one,0,Absent,, ,,yes
ucsd_2,9,3ufooibdt1f,18,Female,Caucasian,Laptop/Computer,773335,1,simultaneousShowup,mugging,absent,mugging_lineup_innocentsuspect,mugging_lineup_3,mugging_lineup_2,mugging_lineup_1,mugging_lineup_5,mugging_lineup_4,,80,no,90,two,1,Absent,, ,,yes
ucsd_2,10,nr5se9r8den,18,Male,Asian,Phone,4075907,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,60,two,1,Absent,, ,,yes
ucsd_2,10,nr5se9r8den,18,Male,Asian,Phone,4075907,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,70,no,50,one,0,Absent,, ,,yes
ucsd_2,11,6z1305h505w5ewmi,23,Male,Asian,Laptop/Computer,747619,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,100,two,1,Absent,, ,,yes
ucsd_2,11,6z1305h505w5ewmi,23,Male,Asian,Laptop/Computer,747619,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,70,yes,70,one,1,Present,, ,,yes
ucsd_2,12,lvomu7ge5x25u3di,21,Male,Other,Laptop/Computer,775029,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,70,no,90,two,1,Absent,, ,,yes
ucsd_2,12,lvomu7ge5x25u3di,21,Male,Other,Laptop/Computer,775029,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,yes,90,one,1,Present,, ,,yes
ucsd_2,13,hgzce5h2t9w1att9,21,Male,Asian,Laptop/Computer,721569,2,simultaneousShowup,graffiti,absent,graffiti_lineup_5,graffiti_lineup_innocentsuspect,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_1,graffiti_lineup_3,,50,no,70,one,1,Absent,, ,,yes
ucsd_2,13,hgzce5h2t9w1att9,21,Male,Asian,Laptop/Computer,721569,1,simultaneousShowup,mugging,present,mugging_lineup_1,mugging_lineup_2,mugging_lineup_5,mugging_lineup_perpetrator,mugging_lineup_4,mugging_lineup_3,,70,yes,50,two,1,Present,, ,,yes
ucsd_2,14,f96mrtux1myxecdi,19,Male,Caucasian,Laptop/Computer,707215,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,90,no,100,one,1,Absent,, ,,yes
ucsd_2,14,f96mrtux1myxecdi,19,Male,Caucasian,Laptop/Computer,707215,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,no,80,two,0,Absent,, ,,yes
ucsd_2,15,wcqvfr1k9hg,20,Female,Asian,Laptop/Computer,1035006,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,There was no technical problem in the video. ,90,no,90,two,1,Absent,, ,,yes
ucsd_2,15,wcqvfr1k9hg,20,Female,Asian,Laptop/Computer,1035006,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,I didn't experience any technical problem while watching the video. ,80,yes,80,one,1,Present,, ,,yes
