filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,SeenBefore,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,SeenCheck,include
ucsd_5,1,2vzuc8l2btw75thcfy5z9w9udi,20,Male,Filipino,Laptop/Computer,719492,2,simultaneousShowup,graffiti,absent,graffiti_lineup_8,graffiti_lineup_31,graffiti_lineup_38,graffiti_innocent_26,graffiti_lineup_21,graffiti_lineup_40,No problems,No,no,80,one,1,Absent,, ,,,yes
ucsd_5,1,2vzuc8l2btw75thcfy5z9w9udi,20,Male,Filipino,Laptop/Computer,719492,1,simultaneousShowup,mugging,present,mugging_lineup_29,mugging_lineup_9,mugging_lineup_21,mugging_lineup_25,mugging_lineup_13,mugging_lineup_perpetrator,No problems,No,yes,80,two,1,Present,, ,,,yes
ucsd_5,2,jruk8bzlkr1k5ykxs9fg06bt9,20,Female,Asian,Laptop/Computer,1172533,2,simultaneousShowup,mugging,absent,mugging_lineup_32,mugging_lineup_11,mugging_lineup_13,mugging_innocent_22,mugging_lineup_26,mugging_lineup_1,,No,no,100,two,1,Absent,, ,,,yes
ucsd_5,2,jruk8bzlkr1k5ykxs9fg06bt9,20,Female,Asian,Laptop/Computer,1172533,1,simultaneousShowup,graffiti,present,graffiti_lineup_5,graffiti_lineup_23,graffiti_lineup_32,graffiti_lineup_11,graffiti_lineup_31,graffiti_lineup_perpetrator,,No,no,100,one,0,Absent,, ,,,yes
ucsd_5,3,4odjtkzc7p8bmx6r,18,Male,Asian,Laptop/Computer,788749,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,There was no technical problems....,No,yes,80,two,1,Present,, ,,,yes
ucsd_5,3,4odjtkzc7p8bmx6r,18,Male,Asian,Laptop/Computer,788749,1,showup,graffiti,absent,graffiti_innocent_32,,,,,,,No,yes,50,one,0,Present,, ,,,yes
ucsd_5,4,vzi3e34pldl17x77a9ejyvi,18,Male,Mexican-American,Laptop/Computer,851419,2,simultaneousShowup,mugging,present,mugging_lineup_38,mugging_lineup_15,mugging_lineup_4,mugging_lineup_32,mugging_lineup_perpetrator,mugging_lineup_36,,No,yes,50,two,1,Present,, ,,,yes
ucsd_5,4,vzi3e34pldl17x77a9ejyvi,18,Male,Mexican-American,Laptop/Computer,851419,1,simultaneousShowup,graffiti,absent,graffiti_lineup_16,graffiti_innocent_17,graffiti_lineup_12,graffiti_lineup_19,graffiti_lineup_6,graffiti_lineup_39,,No,no,40,one,1,Absent,, ,,,yes
ucsd_5,5,gq9z2dfkbslf6rz0ao7lm1jor,19,Male,Asian,selectone,814665,2,simultaneousShowup,graffiti,present,graffiti_lineup_37,graffiti_lineup_perpetrator,graffiti_lineup_8,graffiti_lineup_7,graffiti_lineup_32,graffiti_lineup_3,,No,yes,100,one,1,Present,, ,,,yes
ucsd_5,5,gq9z2dfkbslf6rz0ao7lm1jor,19,Male,Asian,selectone,814665,1,simultaneousShowup,mugging,absent,mugging_lineup_16,mugging_lineup_1,mugging_lineup_5,mugging_lineup_33,mugging_lineup_21,mugging_innocent_39,No sound.,No,no,70,two,1,Absent,, ,,,yes
