subject_ID	trial_num	left	right	chose	left0right1
219	1	4	5	5	1
219	2	1	3	3	1
219	3	2	6	6	1
219	4	4	2	4	0
219	5	1	6	6	1
219	6	6	3	6	0
219	7	5	6	6	1
219	8	3	5	5	1
219	9	5	2	5	0
219	10	2	3	2	0
219	11	1	4	4	1
219	12	2	1	2	0
219	13	4	6	6	1
219	14	1	5	5	1
219	15	3	4	4	1
219	16	4	1	1	1
219	17	2	4	4	1
219	18	6	3	6	0
219	19	1	6	6	1
219	20	3	1	1	1
219	21	4	6	6	1
219	22	6	5	6	0
219	23	5	4	5	0
219	24	2	3	3	1
219	25	3	5	5	1
219	26	4	3	4	0
219	27	5	2	5	0
219	28	2	1	1	1
219	29	6	2	6	0
219	30	5	1	1	1
219	31	5	1	1	1
219	32	4	6	6	1
219	33	1	4	1	0
219	34	6	5	6	0
219	35	2	1	1	1
219	36	3	2	2	1
219	37	2	4	4	1
219	38	1	6	6	1
219	39	6	3	6	0
219	40	5	2	5	0
219	41	3	1	1	1
219	42	5	3	5	0
219	43	4	5	5	1
219	44	6	2	6	0
219	45	4	3	4	0
220	1	3	6	3	0
220	2	1	2	1	0
220	3	4	5	5	1
220	4	3	4	3	0
220	5	1	6	1	0
220	6	6	4	6	0
220	7	2	6	2	0
220	8	1	4	1	0
220	9	3	1	1	1
220	10	5	6	5	0
220	11	2	5	2	0
220	12	5	3	3	1
220	13	1	5	1	0
220	14	2	4	2	0
220	15	3	2	3	0
220	16	1	5	1	0
220	17	5	2	2	1
220	18	1	6	1	0
220	19	4	5	5	1
220	20	6	4	6	0
220	21	2	6	2	0
220	22	1	4	1	0
220	23	3	6	3	0
220	24	5	3	3	1
220	25	3	2	3	0
220	26	2	1	2	0
220	27	4	2	2	1
220	28	5	6	5	0
220	29	3	4	3	0
220	30	1	3	3	1
220	31	3	4	3	0
220	32	2	1	2	0
220	33	1	4	1	0
220	34	5	2	2	1
220	35	3	5	3	0
220	36	1	3	3	1
220	37	2	6	2	0
220	38	4	2	2	1
220	39	1	6	1	0
220	40	3	2	3	0
220	41	1	5	1	0
220	42	6	4	6	0
220	43	5	6	6	1
220	44	4	5	5	1
220	45	3	6	3	0
221	1	4	6	6	1
221	2	1	2	2	1
221	3	3	5	5	1
221	4	5	6	6	1
221	5	4	5	4	0
221	6	3	4	4	1
221	7	1	5	5	1
221	8	2	4	2	0
221	9	5	2	2	1
221	10	3	6	6	1
221	11	2	3	2	0
221	12	1	6	6	1
221	13	3	1	1	1
221	14	2	6	2	0
221	15	1	4	4	1
221	16	4	2	2	1
221	17	6	4	4	1
221	18	5	2	2	1
221	19	3	1	1	1
221	20	1	4	4	1
221	21	2	6	2	0
221	22	3	2	2	1
221	23	1	6	6	1
221	24	2	1	2	0
221	25	3	4	4	1
221	26	5	3	5	0
221	27	1	5	5	1
221	28	5	4	4	1
221	29	6	5	6	0
221	30	6	3	6	0
221	31	6	3	6	0
221	32	1	6	6	1
221	33	5	2	2	1
221	34	6	4	4	1
221	35	4	3	4	0
221	36	3	5	5	1
221	37	2	1	2	0
221	38	1	5	5	1
221	39	3	2	2	1
221	40	2	6	2	0
221	41	1	4	4	1
221	42	6	5	6	0
221	43	5	4	4	1
221	44	4	2	2	1
221	45	3	1	1	1
222	1	4	6	4	0
222	2	1	2	2	1
222	3	3	5	3	0
222	4	5	6	6	1
222	5	4	5	4	0
222	6	3	4	4	1
222	7	1	5	1	0
222	9	5	2	2	1
222	10	3	6	6	1
222	11	2	3	2	0
222	12	1	6	6	1
222	13	3	1	1	1
222	14	2	6	2	0
222	15	1	4	4	1
