subject_ID	trial_num	left	right	chose	left0right1
22	1	3	4	4	1
22	2	2	6	6	1
22	3	6	5	5	1
22	4	2	3	3	1
22	5	4	5	5	1
22	6	1	3	1	0
22	7	2	1	1	1
22	8	3	5	3	0
22	9	4	6	6	1
22	10	1	4	1	0
22	11	2	5	5	1
22	12	4	2	4	0
22	13	1	5	1	0
22	14	6	1	1	1
22	15	3	6	3	0
22	16	2	5	5	1
22	17	6	2	6	0
22	18	4	6	6	1
22	19	6	3	3	1
22	20	3	1	3	0
22	21	4	3	3	1
22	22	1	4	1	0
22	23	4	2	4	0
22	24	1	5	1	0
22	25	2	1	1	1
22	26	4	5	5	1
22	27	5	3	3	1
22	28	6	1	1	1
22	29	5	6	6	1
22	30	2	3	3	1
22	31	3	1	3	0
22	32	1	4	1	0
22	33	5	3	3	1
22	34	2	1	1	1
22	35	3	2	3	0
22	36	4	6	6	1
22	37	6	1	1	1
22	38	2	6	6	1
22	39	6	5	6	0
22	40	5	2	5	0
22	41	1	5	1	0
22	42	5	4	5	0
22	43	6	3	3	1
22	44	4	2	4	0
22	45	3	4	3	0
23	1	1	4	1	0
23	2	3	5	3	0
23	3	4	3	3	1
23	4	1	5	1	0
23	5	2	4	4	1
23	6	3	6	3	0
23	7	4	5	4	0
23	8	1	6	1	0
23	9	6	4	6	0
23	10	1	3	1	0
23	11	5	6	6	1
23	12	2	3	3	1
23	13	5	2	2	1
23	14	2	6	6	1
23	15	1	2	1	0
23	16	5	1	1	1
23	17	1	2	1	0
23	18	6	4	6	0
23	19	2	6	6	1
23	20	1	3	1	0
23	21	3	4	3	0
23	22	4	2	4	0
23	23	5	6	6	1
23	24	4	5	4	0
23	25	3	6	3	0
23	26	5	2	5	0
23	27	2	3	3	1
23	28	1	4	1	0
23	29	6	1	1	1
23	30	3	5	3	0
23	31	2	3	3	1
23	32	3	4	3	0
23	33	4	6	6	1
23	34	3	5	3	0
23	35	6	3	3	1
23	36	5	1	1	1
23	37	1	4	1	0
23	38	2	1	1	1
23	39	1	3	1	0
23	40	4	5	4	0
23	41	5	6	6	1
23	42	6	2	6	0
23	43	2	4	4	1
23	44	5	2	5	0
23	45	6	1	6	0
