Subject;Subject_gender;Subject_age;Subject_language;Subject_nationality;Subject_height;Presentation_order;Target;TP_or_TA;SIM_or_SEQ;Selected_image;Response;Identification_yes_or_no;Rejection_yes_or_no;TP_identification;TA_rejection;Confidence;Response_time;Recognise_chosen;Recognise_other;Seq_image1;Seq_image1_choice;Seq_image1_time;Seq_image2;Seq_image2_choice;Seq_image2_time;Seq_image3;Seq_image3_choice;Seq_image3_time;Seq_image4;Seq_image4_choice;Seq_image4_time;Seq_image5;Seq_image5_choice;Seq_image5_time;Seq_image6;Seq_image6_choice;Seq_image6_time;Seq_image7;Seq_image7_choice;Seq_image7_time;Seq_image8;Seq_image8_choice;Seq_image8_time;Sim_row1_image1;Sim_row1_image2;Sim_row1_image3;Sim_row1_image4;Sim_row2_image1;Sim_row2_image2;Sim_row2_image3;Sim_row2_image4;Distance_actual
1;man;23;Finnish;Finland;178;1;T1;TA;SIM;no image chosen;1;0;1;NA;1;80;10.754;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T1_Foil_6.jpg;T1_Foil_3.jpg;T1_Foil_2.jpg;T1_Extra.jpg;T1_Foil_4.jpg;T1_Foil_1.jpg;T1_Foil_5.jpg;T1_Foil_7.jpg;15
1;man;23;Finnish;Finland;178;2;T2;TA;SIM;T2_Extra_T.jpg;0;1;0;NA;0;50;10.137;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T2_Extra_T.jpg;T2_Foil_5.jpg;T2_Foil_4.jpg;T2_Foil_1.jpg;T2_Foil_6.jpg;T2_Foil_2.jpg;T2_Foil_7.jpg;T2_Foil_3.jpg;25
1;man;23;Finnish;Finland;178;3;T3;TA;SIM;T3_Foil_3.jpg;0;1;0;NA;0;50;11.041;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T3_Foil_1.jpg;T3_Extra.jpg;T3_Foil_6.jpg;T3_Foil_5.jpg;T3_Foil_2.jpg;T3_Foil_3.jpg;T3_Foil_4.jpg;T3_Foil_7.jpg;70
1;man;23;Finnish;Finland;178;4;T4;TA;SIM;T4_Foil_1.jpg;0;1;0;NA;0;50;11.008;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T4_Foil_1.jpg;T4_Foil_3.jpg;T4_Extra.jpg;T4_Foil_4.jpg;T4_Foil_7.jpg;T4_Foil_5.jpg;T4_Foil_6.jpg;T4_Foil_2.jpg;90
2;man;36;Finnish;Finland;190;1;T1;TA;SIM;no image chosen;1;0;1;NA;1;68;30.859;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T1_Foil_4.jpg;T1_Foil_1.jpg;T1_Foil_2.jpg;T1_Foil_7.jpg;T1_Extra.jpg;T1_Foil_5.jpg;T1_Foil_6.jpg;T1_Foil_3.jpg;20
2;man;36;Finnish;Finland;190;2;T2;TA;SIM;T2_Extra_T.jpg;0;1;0;NA;0;75;18.419;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T2_Foil_5.jpg;T2_Extra_T.jpg;T2_Foil_2.jpg;T2_Foil_4.jpg;T2_Foil_3.jpg;T2_Foil_1.jpg;T2_Foil_6.jpg;T2_Foil_7.jpg;35
2;man;36;Finnish;Finland;190;3;T3;TA;SIM;T3_Foil_6.jpg;0;1;0;NA;0;70;12.519;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T3_Foil_5.jpg;T3_Foil_7.jpg;T3_Extra.jpg;T3_Foil_4.jpg;T3_Foil_6.jpg;T3_Foil_1.jpg;T3_Foil_2.jpg;T3_Foil_3.jpg;50
2;man;36;Finnish;Finland;190;4;T4;TP;SIM;T4_Foil_3.jpg;0;1;0;0;NA;90;5.945;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T4_Foil_1.jpg;T4_Foil_4.jpg;T4_Foil_6.jpg;T4_Foil_3.jpg;T4_Foil_5.jpg;T4_Correct.jpg;T4_Foil_7.jpg;T4_Foil_2.jpg;80
3;man;48;Finnish;Finland;182;1;T3;TA;SEQ;T3_Foil_6.jpg;0;1;0;NA;0;34;16.759;0;0;T3_Foil_1.jpg;0;7.072;T3_Foil_7.jpg;0;1.268;T3_Foil_2.jpg;0;1.957;T3_Foil_3.jpg;0;1.363;T3_Foil_6.jpg;1;5.099;T3_Foil_5.jpg;0;0;T3_Extra.jpg;0;0;T3_Foil_4.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;60
3;man;48;Finnish;Finland;182;2;T1;TA;SEQ;T1_Foil_5.jpg;0;1;0;NA;0;66;21.795;0;0;T1_Foil_4.jpg;0;8.794;T1_Foil_1.jpg;0;0.983;T1_Foil_5.jpg;1;12.018;T1_Extra.jpg;0;0;T1_Foil_2.jpg;0;0;T1_Foil_7.jpg;0;0;T1_Foil_6.jpg;0;0;T1_Foil_3.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;5
