age,anxiety,confidence,datetime,ethnicity,gender,identification,logfile,meeting,response_time,subject_nr,suspicion,exclusions,event,suspect,target,condition,decision,age_category,anxiety.new,confidence.new,date,week,target_name,shown_name,accuracy,choosing,decision_evaluation
15 - 20,2,5,02/08/2017 14:28,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-151.csv,"NO, I have not met this person before",258453,151,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,live,rejection,young,2,5,02-Aug,1,a,a,incorrect,non-chooser,miss
46 - 50,2,6,02/08/2017 14:42,Asian,Woman,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-152.csv,"NO, I have not met this person before",28422,152,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,live,rejection,old,2,6,02-Aug,1,a,a,incorrect,non-chooser,miss
21 - 25,3,6,02/08/2017 14:50,Mixed,Woman,"YES, I believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-153.csv,"NO, I have not met this person before",13571,153,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,live,identification,young,3,6,02-Aug,1,a,a,correct,chooser,hit
51 - 55,3,2,02/08/2017 14:57,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop6/Desktop/Open Days 2017/subject-154.csv,"NO, I have not met this person before",54447,154,"NO, I did not suspect that I may be asked to identify this person later",keep,1,1,present,live,rejection,old,3,2,02-Aug,1,a,a,incorrect,non-chooser,miss
66 - 70,1 Not at all anxious,7 Very confident,02/08/2017 14:39,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-2.csv,"NO, I have not met this person before",19652,2,"NO, I did not suspect that I may be asked to identify this person later",keep,1,2,absent,live,rejection,old,1,7,02-Aug,1,a,b,correct,non-chooser,correct.rejection
51 - 55,4,5,02/08/2017 14:46,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-3.csv,"NO, I have not met this person before",44329,3,"NO, I did not suspect that I may be asked to identify this person later",keep,1,2,absent,live,rejection,old,4,5,02-Aug,1,a,b,correct,non-chooser,correct.rejection
46 - 50,no,5,02/08/2017 14:52,Mixed,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-4.csv,"NO, I have not met this person before",19309,4,"NO, I did not suspect that I may be asked to identify this person later",keep,1,2,absent,live,rejection,old,NA,5,02-Aug,1,a,b,correct,non-chooser,correct.rejection
15 - 20,3,4,02/08/2017 15:02,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-5.csv,"NO, I have not met this person before",41256,5,"NO, I did not suspect that I may be asked to identify this person later",keep,1,3,absent,live,rejection,young,3,4,02-Aug,1,a,c,correct,non-chooser,correct.rejection
46 - 50,4,5,02/15/17 14:52:02,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-10.csv,"NO, I have not met this person before",49074,10,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,live,rejection,old,4,5,Feb-15,2,a,b,correct,non-chooser,correct.rejection
15 - 20,2,5,02/15/17 15:04:45,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-11.csv,"NO, I have not met this person before",35281,11,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,live,rejection,young,2,5,Feb-15,2,a,c,correct,non-chooser,correct.rejection
15 - 20,2,6,02/15/17 15:08:23,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-12.csv,"NO, I have not met this person before",23217,12,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,live,rejection,young,2,6,Feb-15,2,a,b,correct,non-chooser,correct.rejection
41 - 45,6,6,02/15/17 15:13:30,White,Woman,I DON'T KNOW,C:/Users/Laptop10/Desktop/OpenDays2017/subject-13.csv,"NO, I have not met this person before",109874,13,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,live,dk,old,6,6,Feb-15,2,a,b,incorrect,non-chooser,correct.rejection
41 - 45,3,6,02/15/17 15:21:28,Asian,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-14.csv,"NO, I have not met this person before",6878,14,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,live,identification,old,3,6,Feb-15,2,a,b,incorrect,chooser,false.alarm
46 - 50,3,5,02/15/17 15:28:07,White,Man,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-15.csv,"NO, I have not met this person before",208338,15,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,live,identification,old,3,5,Feb-15,2,a,c,incorrect,chooser,false.alarm
15 - 20,5,4,02/15/17 14:28:37,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-155.csv,"NO, I have not met this person before",47002,155,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,rejection,young,5,4,Feb-15,2,a,a,incorrect,non-chooser,miss
15 - 20,2,5,02/15/17 14:35:27,White,Woman,"YES, I believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-156.csv,"NO, I have not met this person before",36890,156,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,identification,young,2,5,Feb-15,2,a,a,correct,chooser,hit
51 - 55,3,6,02/15/17 14:44:11,White,Man,"YES, I believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-157.csv,"NO, I have not met this person before",46790,157,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,identification,old,3,6,Feb-15,2,a,a,correct,chooser,hit
41 - 45,4,4,02/15/17 14:51:21,White,Woman,"YES, I believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-158.csv,"NO, I have not met this person before",34671,158,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,identification,old,4,4,Feb-15,2,a,a,correct,chooser,hit
41 - 45,5,3,02/15/17 14:59:56,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-159.csv,"NO, I have not met this person before",46988,159,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,rejection,old,5,3,Feb-15,2,a,a,incorrect,non-chooser,miss
