"confidence_immediate","identification","condition","gender_updated","target_correct","target_pair","identification_decision","not_sure_decision","repetition_numeric","unique_decision","pre_conf","row","ppt_gender","age","ethnicity","post_conf","comfort","face","height","posture","body","movement","behaviour","ID_testify","ID_closest","ID_justRecognized","ID_lookedLike","ID_wouldNotPick","nonID_sure","nonID_noMemory","nonID_seeOthersFirst","nonID_lookedLike","nonID_wouldID","ID","choosing","accuracy","person"
"no","No","FB","female","absent","a","rejection","other",0,"rejection",90,"middle","woman","18","mixed",80,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"1FB1","non-chooser","correct",5
"no","Not sure","FB","male","present","a","rejection","target",0,"not sure",90,"middle","woman","18","mixed",100,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"1FB1","non-chooser","incorrect",6
"60","Yes","HS","female","absent","a","filler","other",1,"identification",90,"middle","woman","50","white",60,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1HS1","chooser","incorrect",5
"90","Yes","HS","male","present","a","target","other",0,"identification",50,"middle","woman","50","white",90,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1HS1","chooser","correct",6
"no","Not sure","live","female","present","a","rejection","target",0,"not sure",70,"front","woman","55","white",50,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1live1","non-chooser","incorrect",6
"50","Yes","live","male","present","a","target","other",0,"identification",60,"front","woman","55","white",70,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1live1","chooser","correct",6
"no","Not sure","FB","female","absent","a","rejection","innocent",0,"not sure",90,"middle","woman","17","white",60,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2FB1","non-chooser","correct",7
"no","Not sure","FB","male","present","a","rejection","target",0,"not sure",70,"middle","woman","17","white",60,80,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2FB1","non-chooser","incorrect",6
"70","Yes","HS","female","absent","a","filler","other",0,"identification",70,"middle","woman","48","black",60,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2HS1","chooser","incorrect",5
"50","Yes","HS","male","present","a","target","other",0,"identification",70,"middle","woman","48","black",40,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2HS1","chooser","correct",6
"70","Yes","live","female","present","a","filler","other",0,"identification",20,"middle","woman","47","white",50,50,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2live1","chooser","incorrect",5
"no","Not sure","live","male","present","a","rejection","filler",0,"rejection",20,"middle","woman","47","white",50,50,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2live1","non-chooser","incorrect",2
"90","Yes","FB","female","absent","a","filler","other",1,"identification",60,"front","man","56","white",90,100,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,"3FB1","chooser","incorrect",4
"80","Yes","FB","male","present","a","filler","other",2,"identification",40,"front","man","56","white",60,100,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"3FB1","chooser","incorrect",1
"no","Not sure","HS","male","present","a","rejection","target",0,"not sure",70,"front","woman","17","white",40,60,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,"3HS1","non-chooser","incorrect",6
"60","Yes","live","female","present","a","filler","other",1,"identification",80,"front","woman","18","white",60,70,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"3live1","chooser","incorrect",3
"60","Yes","live","male","absent","a","filler","other",1,"identification",70,"front","woman","18","white",70,70,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"3live1","chooser","incorrect",1
"no","No","FB","female","present","b","rejection","other",0,"rejection",70,"front","woman","49","white",20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"4FB1","non-chooser","incorrect",1
"no","No","FB","male","absent","b","rejection","other",0,"rejection",20,"front","woman","49","white",10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"4FB1","non-chooser","correct",2
"no","Not sure","HS","female","present","a","rejection","target",0,"not sure",60,"front","man","41","white",80,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"4HS1","non-chooser","incorrect",6
"no","Not sure","HS","male","absent","a","rejection","innocent",0,"not sure",30,"front","man","41","white",40,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"4HS1","non-chooser","correct",7
"no","No","live","female","absent","b","rejection","other",0,"rejection",60,"front","woman","18","white",50,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"4live1","non-chooser","correct",3
"50","Yes","live","male","present","b","filler","other",0,"identification",40,"front","woman","18","white",30,60,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"4live1","chooser","incorrect",1
"no","Not sure","FB","female","present","b","rejection","target",0,"not sure",30,"front","man","54","white",20,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"5FB1","non-chooser","incorrect",7
"no","No","FB","male","absent","b","rejection","other",0,"rejection",50,"front","man","54","white",50,70,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"5FB1","non-chooser","correct",5
"70","Yes","HS","female","absent","b","filler","other",1,"identification",80,"front","woman","18","white",70,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"5HS1","chooser","incorrect",2
"60","Yes","HS","male","present","b","filler","other",1,"identification",60,"front","woman","18","white",50,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5HS1","chooser","incorrect",4
"100","Yes","live","female","present","b","filler","other",0,"identification",60,"front","man","52","white",100,100,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"5live1","chooser","incorrect",1
"100","Yes","live","male","absent","b","innocent","other",0,"identification",100,"front","man","52","white",100,100,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"5live1","chooser","incorrect",6
"50","Yes","FB","female","absent","b","filler","other",0,"identification",50,"front","woman","18","white",60,50,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"6FB1","chooser","incorrect",3
"60","Yes","HS","female","absent","b","filler","other",1,"identification",60,"front","woman","47","white",60,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"6HS1","chooser","incorrect",2
"no","Not sure","HS","male","present","b","rejection","target",0,"not sure",30,"front","woman","47","white",90,40,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"6HS1","non-chooser","incorrect",7
"no","No","live","female","present","b","rejection","other",0,"rejection",60,"front","woman","49","white",40,80,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"6live1","non-chooser","incorrect",3
"no","Not sure","live","male","absent","b","rejection","filler",0,"rejection",60,"front","woman","49","white",60,80,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"6live1","non-chooser","correct",3
"no","No","FB","female","present","b","rejection","other",0,"rejection",60,"back","woman","15","mixed",30,30,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"7FB1","non-chooser","incorrect",2
"40","Yes","FB","male","absent","b","innocent","other",0,"identification",40,"back","woman","15","mixed",40,50,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"7FB1","chooser","incorrect",6
"no","No","HS","female","absent","b","rejection","other",0,"rejection",100,"front","woman","49","black",100,80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"7HS1","non-chooser","correct",3
"no","No","live","female","absent","b","rejection","other",0,"rejection",80,"middle","man","54","white",10,100,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"7live1","non-chooser","correct",2
"no","No","live","male","present","b","rejection","other",0,"rejection",80,"middle","man","54","white",10,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"7live1","non-chooser","incorrect",4
"no","Not sure","FB","male","absent","b","rejection","innocent",0,"not sure",70,"front","woman","53","white",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8FB1","non-chooser","correct",6
"no","Not sure","HS","female","present","b","rejection","target",0,"not sure",60,"back","man","18","mixed",60,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8HS1","non-chooser","incorrect",7
"no","No","HS","male","absent","b","rejection","other",0,"rejection",70,"back","man","18","mixed",60,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8HS1","non-chooser","correct",4
"80","Yes","live","female","absent","b","innocent","other",0,"identification",40,"middle","woman","17","white",70,90,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"8live1","chooser","incorrect",6
"no","Not sure","live","male","present","b","rejection","filler",0,"rejection",60,"middle","woman","17","white",40,70,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"8live1","non-chooser","incorrect",1
"90","Yes","FB","female","absent","b","innocent","other",0,"identification",80,"back","woman","PNTS","black",90,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"9FB1","chooser","incorrect",6
"no","Not sure","FB","male","present","b","rejection","filler",0,"rejection",70,"back","woman","PNTS","black",50,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"9FB1","non-chooser","incorrect",1
"no","No","HS","female","present","b","rejection","other",0,"rejection",60,"middle","woman","41","white",60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"9HS1","non-chooser","incorrect",4
